cohort,layer,n_features,domain,pct_finite,q05,q50,q95
TCGA-UCEC,mRNA,11069,log2 ratio,98.88,0.0,7.67,11.71
TCGA-UCEC,Methylation 450K,478,"beta [0,1]",80.62,0.018,0.4323,0.9509
TCGA-UCEC,RPPA,440,log2 ratio,90.47,-0.7211645579250001,0.0,0.8319580803125001
TCGA-UCEC,CNA (GISTIC2),539,log2 ratio,100.0,-0.08,0.004,1.405
CPTAC-UCEC-ind,RNA-seq,168,log2(count+),100.0,0.0,8.28,12.36
CPTAC-UCEC-ind,Proteome,158,log2 ratio,90.76,-0.9,-0.000148,1.02
CPTAC-UCEC-ind,Phosphoproteome,158,log2 ratio,68.68,-1.1564724999999996,0.12,1.33
CPTAC-UCEC-ind,Acetylproteome,158,log2 ratio,52.07,-1.26241875,0.0566,1.59695
CPTAC-UCEC-ind,Methylation,138,"beta [0,1]",96.15,0.01813,0.03977,0.5853
CPTAC-UCEC-ind,CNA (log2),138,log2 ratio,95.65,-0.011,0.004,1.322
CPTAC-UCEC-ind,CNA (GISTIC),138,"GISTIC [-2,2]",95.65,0.0,0.0,1.0
CPTAC-UCEC-ind,miRNA,148,log2(count+),100.0,0.0,0.0,7.69
CPTAC-UCEC-dis,RNA-seq,95,log2(count+),100.0,0.0,8.4,12.41
CPTAC-UCEC-dis,Proteome,95,log2 ratio,88.98,-0.978,-0.00379,1.02
CPTAC-UCEC-dis,Methylation,91,"beta [0,1]",100.0,0.02,0.03,0.5
CPTAC-UCEC-dis,SCNV,95,other,99.97,-0.11,0.0,0.43
CPTAC-OV-pro,RNA-seq,82,log2(count+),100.0,2.4677105286806897,4.34514795609821,7.0257060065250485
CPTAC-OV-pro,Proteome,83,log2 ratio,88.34,-1.0957733182999998,-0.052260061499999996,0.79710094965
CPTAC-OV-pro,CNA,83,other,100.0,-0.41040976562948783,0.0771000000000004,0.4886999999999978
